universe_id,universe_index,snapshot,path,status,error,raw_halo_count,valid_real_halo_count,at_least_1500,padded_slots_top1500,padded_slot_percentage
LH_26,26,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_26_hlist_1.00000.list,PASS,,5451,5451,True,0,0.0
LH_27,27,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_27_hlist_0.20000.list,PASS,,6425,6425,True,0,0.0
LH_27,27,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_27_hlist_0.25000.list,PASS,,7613,7613,True,0,0.0
LH_27,27,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_27_hlist_0.51209.list,PASS,,7647,7647,True,0,0.0
LH_27,27,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_27_hlist_0.75065.list,PASS,,6794,6794,True,0,0.0
LH_27,27,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_27_hlist_1.00000.list,PASS,,6518,6518,True,0,0.0
LH_28,28,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_28_hlist_0.20000.list,PASS,,6091,6091,True,0,0.0
LH_28,28,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_28_hlist_0.25000.list,PASS,,7220,7220,True,0,0.0
LH_28,28,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_28_hlist_0.51209.list,PASS,,6692,6692,True,0,0.0
LH_28,28,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_28_hlist_0.75065.list,PASS,,5923,5923,True,0,0.0
LH_28,28,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_28_hlist_1.00000.list,PASS,,6000,6000,True,0,0.0
LH_29,29,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_29_hlist_0.20000.list,PASS,,3290,3290,True,0,0.0
LH_29,29,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_29_hlist_0.25000.list,PASS,,4650,4650,True,0,0.0
LH_29,29,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_29_hlist_0.51209.list,PASS,,5356,5356,True,0,0.0
LH_29,29,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_29_hlist_0.75065.list,PASS,,5076,5076,True,0,0.0
LH_29,29,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_29_hlist_1.00000.list,PASS,,5476,5476,True,0,0.0
LH_30,30,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_30_hlist_0.20000.list,PASS,,2111,2111,True,0,0.0
LH_30,30,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_30_hlist_0.25000.list,PASS,,3373,3373,True,0,0.0
LH_30,30,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_30_hlist_0.51209.list,PASS,,5689,5689,True,0,0.0
LH_30,30,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_30_hlist_0.75065.list,PASS,,5704,5704,True,0,0.0
LH_30,30,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_30_hlist_1.00000.list,PASS,,6155,6155,True,0,0.0
LH_31,31,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_31_hlist_0.20000.list,PASS,,5376,5376,True,0,0.0
LH_31,31,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_31_hlist_0.25000.list,PASS,,6988,6988,True,0,0.0
LH_31,31,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_31_hlist_0.51209.list,PASS,,9059,9059,True,0,0.0
LH_31,31,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_31_hlist_0.75065.list,PASS,,8112,8112,True,0,0.0
LH_31,31,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_31_hlist_1.00000.list,PASS,,7801,7801,True,0,0.0
LH_32,32,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_32_hlist_0.20000.list,PASS,,6522,6522,True,0,0.0
LH_32,32,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_32_hlist_0.25000.list,PASS,,7469,7469,True,0,0.0
LH_32,32,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_32_hlist_0.51209.list,PASS,,7428,7428,True,0,0.0
LH_32,32,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_32_hlist_0.75065.list,PASS,,6650,6650,True,0,0.0
LH_32,32,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_32_hlist_1.00000.list,PASS,,6663,6663,True,0,0.0
