universe_id,omega_m_0.20000,omega_m_0.25000,omega_m_0.51209,omega_m_0.75065,omega_m_1.00000,minimum,maximum,spread,consistent,catalogues_checked,header_key
LH_98,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0,True,5,Omega_M
LH_99,0.2014,0.2014,0.2014,0.2014,0.2014,0.2014,0.2014,0,True,5,Omega_M
LH_100,0.33860000000000001,0.33860000000000001,0.33860000000000001,0.33860000000000001,0.33860000000000001,0.33860000000000001,0.33860000000000001,0,True,5,Omega_M
LH_101,0.25740000000000002,0.25740000000000002,0.25740000000000002,0.25740000000000002,0.25740000000000002,0.25740000000000002,0.25740000000000002,0,True,5,Omega_M
LH_102,0.14979999999999999,0.14979999999999999,0.14979999999999999,0.14979999999999999,0.14979999999999999,0.14979999999999999,0.14979999999999999,0,True,5,Omega_M
LH_103,0.1678,0.1678,0.1678,0.1678,0.1678,0.1678,0.1678,0,True,5,Omega_M
LH_104,0.34899999999999998,0.34899999999999998,0.34899999999999998,0.34899999999999998,0.34899999999999998,0.34899999999999998,0.34899999999999998,0,True,5,Omega_M
LH_105,0.27539999999999998,0.27539999999999998,0.27539999999999998,0.27539999999999998,0.27539999999999998,0.27539999999999998,0.27539999999999998,0,True,5,Omega_M
LH_106,0.30780000000000002,0.30780000000000002,0.30780000000000002,0.30780000000000002,0.30780000000000002,0.30780000000000002,0.30780000000000002,0,True,5,Omega_M
LH_107,0.41860000000000003,0.41860000000000003,0.41860000000000003,0.41860000000000003,0.41860000000000003,0.41860000000000003,0.41860000000000003,0,True,5,Omega_M
LH_108,0.49940000000000001,0.49940000000000001,0.49940000000000001,0.49940000000000001,0.49940000000000001,0.49940000000000001,0.49940000000000001,0,True,5,Omega_M
LH_109,0.4254,0.4254,0.4254,0.4254,0.4254,0.4254,0.4254,0,True,5,Omega_M
LH_110,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0,True,5,Omega_M
LH_111,0.39860000000000001,0.39860000000000001,0.39860000000000001,0.39860000000000001,0.39860000000000001,0.39860000000000001,0.39860000000000001,0,True,5,Omega_M
LH_112,0.33739999999999998,0.33739999999999998,0.33739999999999998,0.33739999999999998,0.33739999999999998,0.33739999999999998,0.33739999999999998,0,True,5,Omega_M
LH_113,0.31459999999999999,0.31459999999999999,0.31459999999999999,0.31459999999999999,0.31459999999999999,0.31459999999999999,0.31459999999999999,0,True,5,Omega_M
LH_114,0.18540000000000001,0.18540000000000001,0.18540000000000001,0.18540000000000001,0.18540000000000001,0.18540000000000001,0.18540000000000001,0,True,5,Omega_M
LH_115,0.25059999999999999,0.25059999999999999,0.25059999999999999,0.25059999999999999,0.25059999999999999,0.25059999999999999,0.25059999999999999,0,True,5,Omega_M
LH_116,0.12659999999999999,0.12659999999999999,0.12659999999999999,0.12659999999999999,0.12659999999999999,0.12659999999999999,0.12659999999999999,0,True,5,Omega_M
LH_117,0.29299999999999998,0.29299999999999998,0.29299999999999998,0.29299999999999998,0.29299999999999998,0.29299999999999998,0.29299999999999998,0,True,5,Omega_M
LH_118,0.18740000000000001,0.18740000000000001,0.18740000000000001,0.18740000000000001,0.18740000000000001,0.18740000000000001,0.18740000000000001,0,True,5,Omega_M
LH_119,0.36859999999999998,0.36859999999999998,0.36859999999999998,0.36859999999999998,0.36859999999999998,0.36859999999999998,0.36859999999999998,0,True,5,Omega_M
LH_120,0.40820000000000001,0.40820000000000001,0.40820000000000001,0.40820000000000001,0.40820000000000001,0.40820000000000001,0.40820000000000001,0,True,5,Omega_M
LH_121,0.23180000000000001,0.23180000000000001,0.23180000000000001,0.23180000000000001,0.23180000000000001,0.23180000000000001,0.23180000000000001,0,True,5,Omega_M
LH_122,0.30020000000000002,0.30020000000000002,0.30020000000000002,0.30020000000000002,0.30020000000000002,0.30020000000000002,0.30020000000000002,0,True,5,Omega_M
